scode,sname,amccode
112354,Axis Short Term Fund - Growth Option,53
112355,Axis Short Term Fund - Monthly Dividend Option,53
133895,Axis Short Term Fund - Regular Dividend Option,53
112721,Axis Short Term Fund - Retail Plan - Growth Option,53
112723,Axis Short Term Fund - Retail Plan - Monthly Dividend Option,53
112722,Axis Short Term Fund - Retail Plan - Weekly Dividend Option,53
112369,Axis Short Term Fund - Weekly Dividend Option,53
112215,Axis Treasury Advantage Fund - Daily Dividend Option,53
128961,Axis Treasury Advantage Fund - Direct Plan - Bonus Option,53
120515,Axis Treasury Advantage Fund - Direct Plan - Daily Dividend Option,53
120513,Axis Treasury Advantage Fund - Direct Plan - Growth Option,53
120516,Axis Treasury Advantage Fund - Direct Plan - Monthly Dividend Option,53
120514,Axis Treasury Advantage Fund - Direct Plan - Weekly Dividend Option,53
112214,Axis Treasury Advantage Fund - Growth Option,53
112216,Axis Treasury Advantage Fund - Institutional Plan - Weekly Dividend Option,53
112217,Axis Treasury Advantage Fund - Monthly Dividend Option,53
112720,Axis Treasury Advantage Fund - Retail Plan - Daily Dividend Option,53
112717,Axis Treasury Advantage Fund - Retail Plan - Growth Option,53
112718,Axis Treasury Advantage Fund - Retail Plan - Monthly Dividend Option,53
112719,Axis Treasury Advantage Fund - Retail Plan - Weekly Dividend Option,53
120523,Axis Triple Advantage Fund - Direct Plan - Dividend Option,53
120524,Axis Triple Advantage Fund - Direct Plan - Growth Option,53
113065,Axis Triple Advantage Fund - Dividend Option,53
113064,Axis Triple Advantage Fund - Growth Option,53
125112,Baroda Pioneer Balance Fund - Plan A - Bonus Option,4
101913,BARODA PIONEER BALANCE FUND - Plan A - Dividend Option,4
101912,BARODA PIONEER BALANCE FUND - Plan A - Growth Option,4
119325,BARODA PIONEER BALANCE FUND - Plan B (Direct) - Dividend Option,4
119326,BARODA PIONEER BALANCE FUND - Plan B (Direct) - Growth Option,4
125114,Baroda Pioneer Banking And Financial Services Fund - Plan A - Bonus Option,4
117547,Baroda Pioneer Banking and Financial Services Fund - Plan A - Dividend Payout Option,4
117549,Baroda Pioneer Banking and Financial Services Fund - Plan A - Growth Option,4
125115,Baroda Pioneer Banking And Financial Services Fund - Plan B (Direct) - Bonus Option,4
119334,Baroda Pioneer Banking and Financial Services Fund - Plan B (Direct) - Dividend Payout Option,4
119333,Baroda Pioneer Banking and Financial Services Fund - Plan B (Direct) - Growth Option,4
133525,Baroda Pioneer Credit Opportunities Fund -Plan A -Bonus Option,4
133486,Baroda Pioneer Credit Opportunities Fund -Plan A -Growth Option,4
133517,Baroda Pioneer Credit Opportunities Fund -Plan A -Monthly Dividend Payout Option,4
133518,Baroda Pioneer Credit Opportunities Fund -Plan A -Quarterly Dividend Payout Option,4
133520,Baroda Pioneer Credit Opportunities Fund -Plan B-(Direct) Monthly Dividend Payout Option,4
133524,Baroda Pioneer Credit Opportunities Fund -Plan B-(Direct) Quarterly Dividend Payout Option,4
133678,Baroda Pioneer Credit Opportunities Fund -Plan B(Direct)-Bonus Option,4
133488,Baroda Pioneer Credit Opportunities Fund -Plan B-Growth Option,4
117629,Baroda Pioneer Dynamic Bond Fund - Plan A - Dividend Payout Option,4
117631,Baroda Pioneer Dynamic Bond Fund - Plan A - Growth Option,4
119336,Baroda Pioneer Dynamic Bond Fund - Plan B (Direct) - Dividend Payout Option,4
119337,Baroda Pioneer Dynamic Bond Fund - Plan B (Direct) - Growth Option,4
100068,BARODA PIONEER ELSS 96 - Plan A - Dividend Payout Option,4
119339,BARODA PIONEER ELSS 96 - Plan B (Direct) - Dividend Payout Option,4
125111,Baroda Pioneer ELSS 96 - Plan B (Direct)- Bonus Option,4
125110,Baroda Pioneer ELSS 96 Fund - Plan A- Bonus Option,4
134044,Baroda Pioneer ELSS 96 Plan A -Growth Option,4
134045,Baroda Pioneer ELSS 96 Plan B(Direct) -Growth Option,4
101188,BARODA PIONEER GILT FUND - Plan A - Dividend Option,4
101187,BARODA PIONEER GILT FUND - Plan A - Growth Option,4
119340,BARODA PIONEER GILT FUND - Plan B (Direct) - Dividend Option,4
